Feat0_Cat0.1,Feat0_Cat0.2,Feat0_Cat0.3,Feat1_Cat1.1,Feat1_Cat1.2,Feat1_Cat1.3,Feat2_Cat2.2,Feat3_Cat3.1,Feat3_Cat3.2,Feat3_Cat3.3,Feat4_Cat4.1,Feat4_Cat4.2,Feat4_Cat4.3,Feat4_Cat4.4,Feat5_Cat5.2,target
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1
1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1
0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1
0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1
0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0
0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
